iter	Passed	Remaining
0	5	546
1	11	564
2	18	591
3	22	540
4	28	546
5	34	545
6	41	548
7	46	537
8	52	532
9	58	527
10	64	523
11	70	513
12	75	505
13	80	494
14	85	485
15	90	474
16	95	466
17	100	456
18	105	448
19	110	441
20	114	432
21	120	425
22	126	421
23	132	420
24	138	414
25	142	406
26	147	398
27	152	393
28	157	386
29	162	380
30	167	373
31	172	365
32	177	359
33	181	353
34	186	346
35	192	341
36	197	336
37	203	332
38	212	331
39	218	327
40	224	323
41	226	313
42	231	307
43	237	301
44	242	295
45	247	290
46	253	285
47	258	279
48	263	274
49	267	267
50	272	262
51	278	256
52	283	251
53	288	245
54	291	238
55	297	233
56	301	227
57	307	222
58	312	217
59	317	211
60	323	206
61	327	200
62	332	195
63	337	189
64	342	184
65	346	178
66	351	173
67	356	167
68	361	162
69	366	156
70	370	151
71	376	146
72	381	140
73	385	135
74	390	130
75	395	124
76	399	119
77	404	114
78	409	108
79	414	103
80	419	98
81	424	93
82	429	87
83	435	82
84	440	77
85	445	72
86	452	67
87	456	62
88	462	57
89	467	51
90	472	46
91	476	41
92	481	36
93	486	31
94	491	25
95	495	20
96	500	15
97	505	10
98	510	5
99	515	0
